days,city_population,temperature,fuel_price,n_deliveries,is_friday,days_until_eid,demand_interaction,weather_disruption_flag,supply_chain_cost
55,7443371,41.97693635823241,2.8071927674543393,19.0,0,5,141424049.0,1,22253.236790507846
56,7443371,29.120715780153454,4.425713406941043,79.5,1,4,591747994.5,0,50000.0
57,7443371,33.02159455038301,4.475245501934225,66.0,0,3,491262486.0,0,50000.0
58,7443371,32.38179191512905,4.104026318570147,100.0,0,2,744337100.0,0,50000.0
59,7443371,36.49090634487868,4.1500017694257085,27.0,0,1,200971017.0,0,27297.53704350298
60,7443371,39.448023068175324,4.981168317431281,100.0,0,0,744337100.0,0,50000.0
61,5394166,43.65999923353667,4.884582493743632,68.0,0,29,366803288.0,1,42479.458798429245
62,5394166,32.94162566051526,4.194158605301647,48.0,0,28,258919968.0,1,31520.275234763976
63,5394166,27.0034042365836,3.5627072240179216,53.0,0,27,285890798.0,0,34246.78326720541
64,5394166,40.53493011971881,2.266625425712493,97.0,0,26,523234102.0,1,50000.0
65,5394166,42.982963122806254,3.4429513681785977,100.0,1,25,539416600.0,1,50000.0
66,5394166,37.85250270215868,2.175141079230335,71.0,0,24,382985786.0,0,44094.86942595174
67,5394166,40.481382755986786,2.728919603162528,12.0,0,23,64729992.0,1,12214.826595764474
68,5394166,39.58190447842855,3.7699323227270702,62.0,0,22,334438292.0,0,39081.2260897959
69,5394166,33.01581445651654,2.765910123001115,25.0,0,21,134854150.0,0,19357.425725419573
70,5394166,38.906017442579156,4.631883386456601,43.0,0,20,231949138.0,0,28627.21658192882
71,5394166,25.61693485625156,3.0805182140184666,50.0,0,19,269708300.0,0,33177.033951295685
72,5394166,31.939058447286584,4.292259644225275,43.5,1,18,234646221.0,0,29556.271097327794
73,5394166,31.752975441778375,2.0829603472123424,83.0,0,17,447715778.0,0,50000.0
74,5394166,42.96077744518758,3.532886244442873,63.0,0,16,339832458.0,1,40226.65922999973
75,5394166,43.18459963058594,2.515457921022858,44.0,0,15,237343304.0,1,29721.32701786595
76,5394166,40.98656292093666,4.355576899140502,62.0,0,14,334438292.0,1,39693.00421761898
77,5394166,31.995679993628677,3.4330603071476746,59.0,0,13,318255794.0,0,38040.57797456888
78,5394166,38.958574385446894,2.530675741997608,40.0,0,12,215766640.0,0,27645.516057693072
79,5394166,22.293543815074436,4.396455374929202,100.0,1,11,539416600.0,1,50000.0
80,5394166,31.516457339819592,3.688124706952041,19.0,0,10,102489154.0,0,16186.934792453558
81,5394166,31.23976834104961,2.9870727215811943,21.0,0,9,113277486.0,0,16660.908775955537
82,5394166,32.63978961411095,3.034117831696548,75.0,0,8,404562450.0,0,46340.9076515644
83,5394166,25.003022414126555,3.2699911806715978,94.0,0,7,507051604.0,0,50000.0
84,5394166,21.84462396703065,2.1560662647767175,54.0,0,6,291284964.0,0,35296.45619896472
85,5394166,24.707035960453506,4.236905483801969,24.0,0,5,129459984.0,1,19082.628076603836
86,5394166,29.853713025542845,2.8609486441758123,100.0,1,4,539416600.0,0,50000.0
87,5394166,25.525373363260147,2.189603859357481,36.0,0,3,194189976.0,1,24926.36464547181
88,5394166,44.413089133032344,2.1117587572316,28.5,0,2,153733731.0,1,21350.591613993318
89,5394166,30.35034537466497,2.0311244021709554,90.0,0,1,485474940.0,0,50000.0
90,5394166,29.804304324356806,2.644223182613349,91.5,0,0,493566189.0,1,50000.0
91,9971648,37.32165056545277,3.54260441630842,33.0,0,29,329064384.0,0,43220.56348851793
92,9971648,21.42492627270952,3.5202458734246767,72.0,0,28,717958656.0,0,50000.0
93,9971648,42.70968468143549,4.526930523370181,29.0,0,27,289177792.0,1,39317.5384613397
94,9971648,39.79521703314005,3.5531660930347044,14.0,0,26,139603072.0,0,24121.789775193105
95,9971648,28.2551299795211,3.853162501241961,100.0,1,25,997164800.0,1,50000.0
96,9971648,28.769979196167007,2.492451596117037,93.0,0,24,927363264.0,0,50000.0
97,9971648,42.022204078061634,3.895964947934822,45.0,0,23,448724160.0,1,50000.0
98,9971648,25.377821364502736,3.5985667709360287,97.0,0,22,967249856.0,0,50000.0
99,9971648,34.59881803341127,4.2140165945524934,55.0,0,21,548440640.0,0,50000.0
100,9971648,29.027940956781798,4.945450732846631,28.0,0,20,279206144.0,0,38092.440361514244
101,9971648,24.554942730603813,4.058549093805964,52.0,0,19,518525696.0,0,50000.0
102,9971648,20.662063594232322,2.124942242997549,100.0,1,18,997164800.0,0,50000.0
103,9971648,22.29285923657796,2.3233863156820536,48.0,0,17,478639104.0,0,50000.0
104,9971648,39.74650816504641,3.431816121292543,24.0,0,16,239319552.0,0,34455.170559381804
105,9971648,24.898380095057846,2.057483652150924,86.0,0,15,857561728.0,0,50000.0
106,9971648,38.21527356777776,3.2901919926780367,57.0,0,14,568383936.0,0,50000.0
107,9971648,21.779960441590028,3.8275807657798584,30.0,0,13,299149440.0,0,40027.98436985539
108,9971648,42.831301086383704,3.2076141907810998,56.0,0,12,558412288.0,1,50000.0
109,9971648,31.284241917396034,4.133085577009545,16.5,1,11,164532192.0,0,27138.901657791765
110,9971648,28.44593224220217,4.21881295162912,53.0,0,10,528497344.0,0,50000.0
111,9971648,37.46569509799875,3.4324483031199278,84.0,0,9,837618432.0,0,50000.0
112,9971648,36.61826089830794,4.149820725147185,93.0,0,8,927363264.0,0,50000.0
113,9971648,44.10386810549282,3.1011683825967884,36.0,0,7,358979328.0,1,46447.87301196127
114,9971648,30.718934907227045,3.5767739648239516,91.0,0,6,907419968.0,0,50000.0
115,9971648,21.585879105163286,2.8179652076586033,65.0,0,5,648157120.0,0,50000.0
116,9971648,25.758286750458304,3.6486505695878524,85.5,1,4,852575904.0,0,50000.0
117,9971648,36.694030187073395,3.422420380516796,100.0,0,3,997164800.0,0,50000.0
118,9971648,33.02114082712369,3.2294354662791016,48.0,0,2,478639104.0,0,50000.0
119,9971648,39.61955063793785,3.299687092442248,100.0,0,1,997164800.0,0,50000.0
120,9971648,35.5445942812148,3.6774657930229684,100.0,0,0,997164800.0,0,50000.0
121,5612424,21.101257120912866,3.597967036600131,65.0,0,29,364807560.0,0,42329.06000067263
122,5612424,22.36661547614547,4.500999245029816,86.0,0,28,482668464.0,0,50000.0
123,5612424,40.42936059698859,2.391862300418187,83.0,0,27,465831192.0,1,50000.0
124,5612424,23.484315424626892,4.788358043389424,44.0,0,26,246946656.0,0,31075.190036838765
125,5612424,40.041521100973746,3.3515150317772733,72.0,1,25,404094528.0,1,46664.47598742523
126,5612424,40.427056948015824,3.0176463308140073,34.0,0,24,190822416.0,1,25012.705321693986
127,5612424,30.086075473000406,3.87602566909858,78.0,0,23,437769072.0,0,49710.26046327702
128,5612424,41.948185464893626,2.789531611118339,85.0,0,22,477056040.0,1,50000.0
129,5612424,38.67830968206222,3.9268346857724445,82.0,0,21,460218768.0,0,50000.0
130,5612424,28.82517666146694,2.9575187145734354,49.0,0,20,275008776.0,1,33168.06037015305
131,5612424,44.138043378389796,4.87791238887673,50.0,0,19,280621200.0,1,33972.112503372904
132,5612424,39.92716660754697,2.4670290988365022,100.0,1,18,561242400.0,0,50000.0
133,5612424,38.313258908983755,4.1135940941300255,64.0,0,17,359195136.0,0,42412.397901609176
134,5612424,30.098807690296873,3.9576455345039774,78.0,0,16,437769072.0,0,49990.4744269711
135,5612424,30.209724128313425,3.6285354566490207,86.0,0,15,482668464.0,0,50000.0
136,5612424,36.65931151411888,4.370809012665756,79.0,0,14,443381496.0,1,50000.0
137,5612424,24.46725757400209,4.77529554668758,90.0,0,13,505118160.0,0,50000.0
138,5612424,32.21699080802908,2.5775270865193383,55.0,0,12,308683320.0,0,36844.1435197823
139,5612424,43.86695223602791,2.5868194714331376,36.0,1,11,202047264.0,1,26519.57070523396
140,5612424,39.2448510511521,4.257863013658916,70.0,0,10,392869680.0,0,45758.53569988258
141,5612424,34.358359436421,2.777986695231405,90.0,0,9,505118160.0,0,50000.0
142,5612424,33.91777531962622,4.405422021510773,59.0,0,8,331133016.0,0,39350.71635419529
143,5612424,23.399498193724206,4.740853114558319,95.0,0,7,533180280.0,0,50000.0
144,5612424,44.370286885590275,2.2840382852115897,32.0,0,6,179597568.0,1,24228.70247539426
145,5612424,41.21271613598932,4.829584343112292,42.0,0,5,235721808.0,1,29739.77582052572
146,5612424,26.675499581048566,4.265222567393033,24.0,1,4,134698176.0,0,19173.92626198562
147,5612424,22.347481420921977,3.800817845548813,15.0,0,3,84186360.0,0,13902.943810719198
148,5612424,40.34626949711711,3.951890361388527,19.5,0,2,109442268.0,1,16351.500370378804
149,5612424,26.99911066776985,4.444905234179984,63.0,0,1,353582712.0,0,41135.27862024468
150,5612424,20.65963965993715,3.9795535287587493,16.5,0,0,92604996.0,0,15460.048373047552
151,8915840,33.88359571583183,2.835494657022209,96.0,0,29,855920640.0,0,50000.0
152,8915840,37.87316646078262,3.8321286488980633,13.0,0,28,115905920.0,0,20738.025355256603
153,8915840,33.910424688246444,4.714034086516784,64.0,0,27,570613760.0,0,50000.0
154,8915840,21.956456972110168,4.064412684379558,33.0,0,26,294222720.0,0,38323.31911543616
155,8915840,24.15012957808405,3.5153032876828743,15.0,1,25,133737600.0,0,22544.182699214187
156,8915840,22.192690696520884,3.5599647040873075,83.0,0,24,740014720.0,0,50000.0
157,8915840,43.944140073217966,4.220786599637794,13.0,0,23,115905920.0,1,20865.967560590925
158,8915840,23.5858276759508,2.808718189023652,29.0,0,22,258559360.0,0,35356.88226773992
159,8915840,22.720223549827537,4.806330279289062,16.0,0,21,142653440.0,0,23507.059855368578
160,8915840,29.556876679010976,3.7561289592100433,35.0,0,20,312054400.0,0,40524.94875328086
161,8915840,38.17357483470814,3.9916021106756636,78.0,0,19,695435520.0,0,50000.0
162,8915840,33.15872049096115,2.2947699560924306,100.0,1,18,891584000.0,0,50000.0
163,8915840,33.62301863839972,3.814683649507649,64.0,0,17,570613760.0,0,50000.0
164,8915840,40.94277859069258,4.699468828510295,38.0,0,16,338801920.0,1,43248.16174416004
165,8915840,34.46820073206122,3.6406116768029193,97.0,0,15,864836480.0,0,50000.0
166,8915840,29.090478580299262,3.9552578591693757,59.0,0,14,526034560.0,0,50000.0
167,8915840,25.226403191130053,4.85106745095362,93.0,0,13,829173120.0,0,50000.0
168,8915840,39.752207763571406,2.2330867294768426,20.0,0,12,178316800.0,0,26781.045274749675
169,8915840,38.80524329198427,3.291082028542186,100.0,1,11,891584000.0,0,50000.0
170,8915840,40.46690247359729,3.6279684921004627,98.0,0,10,873752320.0,1,50000.0
171,8915840,40.03937256085928,3.403533894760526,60.0,0,9,534950400.0,1,50000.0
172,8915840,25.263634999087444,2.8074907281314125,56.0,0,8,499287040.0,0,50000.0
173,8915840,44.90538306592614,4.308241455760859,33.0,0,7,294222720.0,1,38849.126236080905
174,8915840,23.5334181913455,4.810118222191798,49.0,0,6,436876160.0,0,50000.0
175,8915840,38.686301036264084,3.2292083457583445,16.0,0,5,142653440.0,0,23228.982519426263
176,8915840,36.43839790005829,2.366308797068707,100.0,1,4,891584000.0,0,50000.0
177,8915840,31.05826295355358,4.985238556531726,39.0,0,3,347717760.0,0,44044.09257978308
178,8915840,41.99860732091015,2.566619009401691,54.0,0,2,481455360.0,1,57461.622587120175
179,8915840,21.48119301446062,6.427631534134576,87.0,0,1,775678080.0,0,50000.0
180,8915840,24.487663793808018,4.438280677154774,100.0,0,0,891584000.0,0,50000.0
181,5715816,29.97396152519522,4.423290856768281,86.0,0,29,491560176.0,0,50000.0
182,5715816,39.55716362557753,3.7342325585514757,31.0,0,28,177190296.0,0,23614.246135752208
183,5715816,21.213622724362704,3.077329845909113,18.0,0,27,102884688.0,0,15833.612336022017
184,5715816,32.614008245602086,2.529969286312126,69.0,0,26,394391304.0,0,46001.282843992776
185,5715816,38.772211436089776,3.714262847703214,21.0,1,25,120032136.0,0,17561.555653701944
186,5715816,37.05956298036918,4.688814324834083,78.0,0,24,445833648.0,0,50000.0
187,5715816,20.657555491215412,2.3851380920431713,47.0,0,23,268643352.0,0,32602.163496045734
188,5715816,31.17341991122063,2.624253010320576,97.0,0,22,554434152.0,0,50000.0
189,5715816,39.55937466085968,4.570077879311761,95.0,0,21,543002520.0,0,50000.0
190,5715816,34.854990843306936,2.724681919155302,37.0,0,20,211485192.0,0,26962.636076872426
191,5715816,44.30385883594367,4.647743007462043,56.0,0,19,320085696.0,1,38411.51918118642
192,5715816,33.71768677055149,4.180691514613265,100.0,1,18,571581600.0,0,50000.0
193,5715816,28.062505722163102,2.8374512448566844,60.0,0,17,342948960.0,0,40896.956211824116
194,5715816,28.356159150231214,2.4066544064945123,91.0,0,16,520139256.0,0,50000.0
195,5715816,37.44615442997207,3.3509667249572237,11.0,0,15,62873976.0,0,12306.114218790415
196,5715816,37.92307759601213,4.627358950383338,60.0,0,14,342948960.0,0,40381.98891956677
197,5715816,43.2537035279957,2.2241087627841916,14.0,0,13,80021424.0,1,13811.143658734263
198,5715816,36.472243998087464,4.473344496806409,38.0,0,12,217201008.0,0,27752.26673717999
199,5715816,22.27164644198939,4.889549950194379,63.0,1,11,360096408.0,0,42089.22925914821
200,5715816,40.35584091774715,4.1517599897584905,20.0,0,10,114316320.0,1,16974.099996733934
201,5715816,34.89306019493053,3.672631585943029,75.0,0,9,428686200.0,0,49481.1842647271
202,5715816,24.048735561634103,3.9517709637024456,25.0,0,8,142895400.0,0,20360.81560391633
203,5715816,21.608154669423932,2.6839496946322408,51.0,0,7,291506616.0,0,35033.907941160935
204,5715816,32.90136250140844,3.0477582984775795,88.0,0,6,502991808.0,0,50000.0
205,5715816,21.03065635311845,4.462581210687013,59.0,0,5,337233144.0,0,39727.42635067548
206,5715816,37.316398951593456,3.7951073659842574,55.5,1,4,317227788.0,0,37825.3374849636
207,5715816,28.93083288070384,2.6887786631311172,100.0,0,3,571581600.0,0,50000.0
208,5715816,32.8886236247282,4.402427409114414,100.0,0,2,571581600.0,0,50000.0
209,5715816,34.14924181906606,4.713378850372566,57.0,0,1,325801512.0,0,38370.86883426416
210,5715816,26.914254151113276,2.339633389024131,100.0,0,0,571581600.0,1,50000.0
211,3194177,43.2665374583623,3.395059165775365,97.0,0,29,309835169.0,1,34500.57363483966
212,3194177,36.5478637742537,2.3041311952037264,88.0,0,28,281087576.0,1,31450.14603046951
213,3194177,29.57065468528377,2.4952760355082058,67.0,0,27,214009859.0,0,24748.317733300868
214,3194177,31.50466666998529,2.0399748221553002,13.0,0,26,41524301.0,0,7413.9304224324205
215,3194177,34.81471714716451,2.6431273563480655,46.5,1,25,148529230.5,0,18594.61617933701
216,3194177,28.367772955784773,4.904646758590852,27.0,0,24,86242779.0,0,12440.124014407316
217,3194177,44.56230689410403,2.7724562113580093,93.0,0,23,297058461.0,1,33868.0588107009
218,3194177,27.17407620254916,3.850126491337175,91.0,0,22,290670107.0,1,32646.39416272993
219,3194177,28.637838526127847,4.8772207352228865,71.0,0,21,226786567.0,0,26173.24210662344
220,3194177,37.40673468989392,4.406161904177136,68.0,0,20,217204036.0,0,25702.121438452374
221,3194177,34.44753436951035,3.9102105184942633,50.0,0,19,159708850.0,0,19508.535146634753
222,3194177,31.17601353567639,3.7412549531636663,96.0,1,18,306640992.0,0,34889.23563402947
223,3194177,24.609859427664045,2.7536908956910144,43.0,0,17,137349611.0,0,17391.283967988344
224,3194177,39.38924667010225,2.1474095220067024,78.0,0,16,249145806.0,0,28582.72160467254
225,3194177,39.58923228454189,2.6380075813624977,21.0,0,15,67077717.0,0,10219.163572056452
226,3194177,26.403009865696347,4.4616370365426405,19.0,0,14,60689363.0,0,9491.037965449023
227,3194177,27.72500407358367,3.859710461709682,64.0,0,13,204427328.0,0,24386.455014834548
228,3194177,24.52188439302366,5.85939603694643,44.0,0,12,140543788.0,0,17252.743054295915
229,3194177,39.527758557941695,2.6562959972922853,34.5,1,11,110199106.5,0,14984.052406335553
230,3194177,43.21181697944388,4.611566053843586,90.0,0,10,287475930.0,1,32259.609768882056
231,3194177,20.75890786197344,3.0151316243343587,15.0,0,9,47912655.0,0,7853.733814808904
232,3194177,20.968807183361115,2.1973481992244803,87.0,0,8,277893399.0,0,31308.797163265262
233,3194177,27.729588582496017,4.337054346425468,91.0,0,7,290670107.0,0,32336.064567427762
234,3194177,33.98776502241455,2.068522994210813,32.0,0,6,102213664.0,0,13917.511429967655
235,3194177,25.467391914918892,2.4649615022666227,39.0,0,5,124572903.0,0,15854.937984358738
236,3194177,38.824052879636795,4.256643778479981,72.0,1,4,229980744.0,0,26477.50820996894
237,3194177,31.546996570580056,2.5653631159080033,49.5,0,3,158111761.5,0,19833.7440586452
238,3194177,20.161980666247384,3.3148716279751542,100.0,0,2,319417700.0,0,36196.07194364577
239,3194177,32.39673589794546,3.5839331225791375,55.5,0,1,177276823.5,0,21520.370594122145
240,3194177,24.559520741541114,3.433540611970512,100.0,0,0,319417700.0,0,35572.4734088586
241,5555629,25.136571203584275,4.046156537527475,51.0,0,29,283337079.0,0,34264.701064560926
242,5555629,31.149047376925807,3.546779079182213,57.0,0,28,316670853.0,0,37339.67821860942
243,5555629,35.35909229993601,6.46366579596998,63.0,0,27,350004627.0,0,41515.03552178236
244,5555629,30.54816227256177,2.2920586486503582,32.0,0,26,177780128.0,0,24079.750258052503
245,5555629,38.74694409367035,3.905706627693161,37.5,1,25,208336087.5,0,26765.385659798583
246,5555629,30.901653004008608,4.379972973981795,42.0,0,24,233336418.0,0,29612.283251906356
247,5555629,26.78682490375082,4.488691840409778,46.0,0,23,255558934.0,0,31622.53476050843
248,5555629,27.305482954928273,3.7500078675387223,35.0,0,22,194447015.0,0,25464.09765375461
249,5555629,20.902985726100685,3.12030687746168,88.0,0,21,488895352.0,0,50000.0
250,5555629,33.31806812553797,2.0776821718037137,43.0,0,20,238892047.0,0,29421.088013782544
251,5555629,23.77240285062392,2.9529381328227813,14.0,0,19,77778806.0,0,13695.836125884352
252,5555629,31.569756051162322,2.981830140588322,99.0,1,18,550007271.0,0,50000.0
253,5555629,44.90606511918429,3.9516443345390293,95.0,0,17,527784755.0,1,50000.0
254,5555629,23.69827215117126,3.210550847065887,81.0,0,16,450005949.0,0,50000.0
255,5555629,20.993602875459104,3.2913423691844925,15.0,0,15,83334435.0,0,13577.977121441285
256,5555629,34.10099055809562,3.215690074494488,33.0,0,14,183335757.0,0,24392.073309219028
257,5555629,28.67988971221829,2.312508760088697,90.0,0,13,500006610.0,0,50000.0
258,5555629,29.578359720268438,2.0264671584535563,75.0,0,12,416672175.0,0,47949.40491019991
259,5555629,36.83200863878112,3.927152338035165,39.0,1,11,216669531.0,0,27803.53948854689
260,5555629,34.25983634130839,4.284098959863232,98.0,0,10,544451642.0,0,50000.0
261,5555629,39.1507558374129,4.263476048349979,39.0,0,9,216669531.0,0,27752.531396656344
262,5555629,27.973940309462975,4.862131028423785,34.0,0,8,188891386.0,0,24656.226737695088
263,5555629,38.65684243552461,2.0079512744298054,75.0,0,7,416672175.0,0,47882.68492544827
264,5555629,24.22284202446749,2.557968923363677,82.0,0,6,455561578.0,0,50000.0
265,5555629,41.1707533351847,4.971798376521262,59.0,0,5,327782111.0,1,38565.006282857685
266,5555629,29.302434145138868,3.972689902566263,51.0,1,4,283337079.0,0,34508.04822520358
267,5555629,30.377943490680636,4.259266651261015,49.5,0,3,275003635.5,0,33827.25299014862
268,5555629,37.22139252395872,4.626426887782253,100.0,0,2,555562900.0,0,50000.0
269,5555629,29.95567632377258,3.7568542093553985,58.5,0,1,325004296.5,0,38369.99967866531
270,5555629,42.77386757356418,2.8061566336327277,100.0,0,0,555562900.0,1,50000.0
271,3423295,22.7993534380683,2.039513102864432,51.0,0,29,174588045.0,0,21090.781479345773
272,3423295,43.757823917574626,2.1787829684719435,10.0,0,28,34232950.0,1,7477.64368680659
273,3423295,33.241151891970304,3.1911231046156496,42.0,0,27,143778390.0,0,17689.64833660714
274,3423295,25.5770637880751,2.026735832142483,73.0,0,26,249900535.0,0,29231.969491926844
275,3423295,30.653948801067784,2.1560506270710773,76.5,1,25,261882067.5,0,30031.77155458826
276,3423295,34.523132325977,2.908101871735379,69.0,0,24,236207355.0,0,27251.346765920658
277,3423295,20.348311210097172,4.166298915065583,30.0,0,23,102698850.0,0,13904.653989713608
278,3423295,41.753474084547435,2.474337821094669,97.0,0,22,332059615.0,1,37174.01174240315
279,3423295,20.828212285044813,3.451247429349118,41.0,0,21,140355095.0,0,17800.544175620984
280,3423295,44.81151078542775,3.400088051217405,83.0,0,20,284133485.0,1,32050.878552441565
281,3423295,40.957779926630124,3.591047586149241,35.0,0,19,119815325.0,1,15973.585299302673
282,3423295,26.562057295986758,2.915675676219605,100.0,1,18,342329500.0,0,37832.6892766024
283,3423295,26.186401097805724,2.0886260592671855,94.0,0,17,321789730.0,0,36310.72421352848
284,3423295,25.2395948105508,4.297784812312471,76.0,0,16,260170420.0,0,30230.069400800898
285,3423295,42.11634735512432,2.2639914851580487,92.0,0,15,314943140.0,1,35491.55160602812
286,3423295,26.018578374774066,4.6055715050732005,17.0,0,14,58196015.0,0,9245.202683028507
287,3423295,44.82850063367265,3.8711068173107424,16.0,0,13,54772720.0,1,8936.525637373366
288,3423295,32.702157846728085,3.168799246585193,27.0,0,12,92428965.0,0,13156.329454666164
289,3423295,22.86433652745025,2.7651234946792798,100.0,1,11,342329500.0,1,37941.58774933191
290,3423295,42.026881359758036,2.0756764345477006,84.0,0,10,287556780.0,1,33113.49176319615
291,3423295,24.978884339293057,3.2085703186323453,47.0,0,9,160894865.0,0,19831.35052975097
292,3423295,22.884724708378265,4.696773547628398,19.0,0,8,65042605.0,0,10367.041860463083
293,3423295,31.98486594868374,4.498344832934244,89.0,0,7,304673255.0,0,34311.04536967747
294,3423295,35.89995130854115,2.7343866658140143,80.0,0,6,273863600.0,0,31750.245473958585
295,3423295,33.88272686340269,3.4306836699038668,20.0,0,5,68465900.0,0,10347.985441110906
296,3423295,26.793667424644383,7.265862157856107,81.0,1,4,277286895.0,0,31991.116956517755
297,3423295,35.94144748864272,4.487769771819548,36.0,0,3,123238620.0,0,16207.922735568593
298,3423295,21.652968903898373,2.584782412659923,100.0,0,2,342329500.0,0,38298.44817686067
299,3423295,28.17721310748545,3.978157369052654,72.0,0,1,246477240.0,1,28790.453033833943
300,3423295,20.19267817776567,4.484985810748353,100.0,0,0,342329500.0,0,38038.22332634842
301,9361641,42.38919673199106,2.9664178951004705,88.0,0,29,823824408.0,1,50000.0
302,9361641,26.19049445004098,3.1079510759653854,46.0,0,28,430635486.0,0,50000.0
303,9361641,25.600517023111976,3.760910579306132,59.0,0,27,552336819.0,0,50000.0
304,9361641,36.66101340806118,4.312794146497383,65.0,0,26,608506665.0,0,50000.0
305,9361641,34.75676655452955,2.482286605763345,25.5,1,25,238721845.5,0,33769.266203766936
